year,title,authors,venue,doi,screening_status,screening_reason
2024,AirNet: Neural Network Transmission Over the Air,Mikołaj Jankowski; Denız Gündüz; Krystian Mikolajczyk,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3388329,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2024,Analysis on Peak Age of Status Updates in Task-Oriented Machine- Type Communications,Yanlin Li; Xiaoqi Qin; Jincheng Dai; Xianxin Song; Nan Ma; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3430903,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2024,AoI-Aware Interference Mitigation for Task-Oriented Multicasting in Multi-Cell NOMA Networks,Chih-Yu Lin; Wanjiun Liao,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3381480,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2024,CDDM: Channel Denoising Diffusion Models for Wireless Semantic Communications,Tong Wu; Zhiyong Chen; Dazhi He; Liang Qian; Yin Xu; Meixia Tao; Wenjun Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3379244,core,explicit semantic-communication terminology in title or abstract
2024,Compression Before Fusion: Broadcast Semantic Communication System for Heterogeneous Tasks,Mingze Gong; Shuoyao Wang; Fangwei Ye; Suzhi Bi,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3483314,core,explicit semantic-communication terminology in title or abstract
2024,Deep Joint Source-Channel Coding for Adaptive Image Transmission Over MIMO Channels,Haotian Wu; Yulin Shao; Chenghong Bian; Krystian Mikolajczyk; Deniz Gündüz,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3422794,core,explicit semantic-communication terminology in title or abstract
2024,Deep Learning-Empowered Semantic Communication Systems With a Shared Knowledge Base,Peng Yi; Yang Cao; Xin Kang; Ying-Chang Liang,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3330744,core,explicit semantic-communication terminology in title or abstract
2024,Features Disentangled Semantic Broadcast Communication Networks,Shuai Ma; Zhi Zhang; Youlong Wu; Hang Li; Guangming Shi; Dahua Gao; Yuanming Shi; Shiyin Li; Naofal Al-Dhahir,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3334225,core,explicit semantic-communication terminology in title or abstract
2024,Goal-Oriented Semantic Communications for Robotic Waypoint Transmission: The Value and Age of Information Approach,Wenchao Wu; Yuanqing Yang; Yansha Deng; A. Hamid Aghvami,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3424493,core,explicit semantic-communication terminology in title or abstract
2024,Goal-Oriented Wireless Communication Resource Allocation for Cyber-Physical Systems,Cheng Feng; Kedi Zheng; Yi Wang; Kaibin Huang; Qixin Chen,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3432918,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2024,Hybrid Semantic-Shannon Communications,Nikos G. Evgenidis; Nikos A. Mitsiou; Sotiris A. Tegos; Panagiotis D. Diamantoulakis; Panagiotis Sarigiannidis; Ioannis Krikidis; George K. Karagiannidis,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3376998,core,explicit semantic-communication terminology in title or abstract
2024,Interference Suppressed NOMA for Semantic-Aware Communication Networks,Yimeng Zhang; Ruikang Zhong; Yuanwei Liu; Wenjun Xu; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3371775,core,explicit semantic-communication terminology in title or abstract
2024,Joint URLLC Traffic Scheduling and Resource Allocation for Semantic Communication Systems,Guangyao Ding; Shengli Liu; Jiantao Yuan; Guanding Yu,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3339239,core,explicit semantic-communication terminology in title or abstract
2024,Knowledge Distillation-Based Semantic Communications for Multiple Users,Chenguang Liu; Yuxin Zhou; Yunfei Chen; Shuang-Hua Yang,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3336941,core,explicit semantic-communication terminology in title or abstract
2024,Machine Learning Enabled Heterogeneous Semantic and Bit Communication,Meng Zhang; Ruikang Zhong; Xidong Mu; Yuanwei Liu,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3397635,core,explicit semantic-communication terminology in title or abstract
2024,Multi-Device Task-Oriented Communication via Maximal Coding Rate Reduction,Chang Cai; Xiaojun Yuan; Ying-Jun Angela Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3461336,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2024,Neuro-Symbolic Causal Reasoning Meets Signaling Game for Emergent Semantic Communications,Christo Kurisummoottil Thomas; Walid Saad,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3319981,core,explicit semantic-communication terminology in title or abstract
2024,Optimization of Image Transmission in Cooperative Semantic Communication Networks,Wenjing Zhang; Yining Wang; Mingzhe Chen; Tao Luo; Dusit Niyato,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3282906,core,explicit semantic-communication terminology in title or abstract
2024,Orthogonal Model Division Multiple Access,Haotai Liang; Kaijun Liu; Xiaoyi Liu; Hongchao Jiang; Chen Dong; Xiaodong Xu; Kai Niu; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3384421,core,explicit semantic-communication terminology in title or abstract
2024,Performance Limits of a Deep Learning-Enabled Text Semantic Communication Under Interference,Tilahun M. Getu; Walid Saad; Georges Kaddoum; Mehdi Bennis,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3370497,core,explicit semantic-communication terminology in title or abstract
2024,Privacy-Preserving Task-Oriented Semantic Communications Against Model Inversion Attacks,Yanhu Wang; Shuaishuai Guo; Yiqin Deng; Haixia Zhang; Yuguang Fang,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3369170,core,explicit semantic-communication terminology in title or abstract
2024,QoE-Based Semantic-Aware Resource Allocation for Multi-Task Networks,Lei Yan; Zhijin Qin; Chunfeng Li; Rui Zhang; Yongzhao Li; Xiaoming Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3386807,core,explicit semantic-communication terminology in title or abstract
2024,Reasoning Over the Air: A Reasoning- Based Implicit Semantic-Aware Communication Framework,Yong Xiao; Yiwei Liao; Yingyu Li; Guangming Shi; H. Vincent Poor; Walid Saad; Mérouane Debbah; Mehdi Bennis,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3312115,core,explicit semantic-communication terminology in title or abstract
2024,Resource Allocation and Common Message Selection for Task-Oriented Semantic Information Transmission With RSMA,Yanyu Cheng; Dusit Niyato; Hongyang Du; Jiawen Kang; Zehui Xiong; Chunyan Miao; Dong In Kim,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3327127,core,explicit semantic-communication terminology in title or abstract
2024,Resource Optimization for Semantic-Aware Networks With Task Offloading,Zelin Ji; Zhijin Qin; Xiaoming Tao; Zhu Han,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3390407,core,explicit semantic-communication terminology in title or abstract
2024,Robust Image Semantic Coding With Learnable CSI Fusion Masking Over MIMO Fading Channels,Bingyan Xie; Yongpeng Wu; Yuxuan Shi; Wenjun Zhang; Shuguang Cui; Mérouane Debbah,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3409735,core,explicit semantic-communication terminology in title or abstract
2024,STAR-RIS Assisted Information Transmission Based on Fairness in Semantic Communication Systems,Ping Xie; Fan Li; Mingchuan Zhang; Wei Quan; Junlong Zhu; Nan Cheng,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3449414,core,explicit semantic-communication terminology in title or abstract
2024,Semantic Communications for Image Recovery and Classification via Deep Joint Source and Channel Coding,Zhonghao Lyu; Guangxu Zhu; Jie Xu; Bo Ai; Shuguang Cui,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3349330,core,explicit semantic-communication terminology in title or abstract
2024,Semantic Feature Division Multiple Access for Multi-User Digital Interference Networks,Shuai Ma; Chuanhui Zhang; Bin Shen; Youlong Wu; Hang Li; Shiyin Li; Guangming Shi; Naofal Al-Dhahir,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3427675,core,explicit semantic-communication terminology in title or abstract
2024,Semantic Feature Scheduling and Rate Control in Multi-Modal Distributed Network,Huiguo Gao; Guanding Yu; Yangshuo He; Yuanwei Liu,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3480352,core,explicit semantic-communication terminology in title or abstract
2024,Semantic Knowledge Base-Enabled Zero-Shot Multi-Level Feature Transmission Optimization,Yaping Sun; Hao Chen; Xiaodong Xu; Ping Zhang; Shuguang Cui,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3323380,core,explicit semantic-communication terminology in title or abstract
2024,Semantic MIMO Systems for Speech-to-Text Transmission,Zhenzi Weng; Zhijin Qin; Huiqiang Xie; Xiaoming Tao; Khaled B. Letaief,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3472612,core,explicit semantic-communication terminology in title or abstract
2024,Task-Oriented Communication for Edge Video Analytics,Jiawei Shao; Xinjie Zhang; Jun Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3314888,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2024,Task-Oriented Over-the-Air Computation for Multi-Device Edge AI,Dingzhu Wen; Xiang Jiao; Peixi Liu; Guangxu Zhu; Yuanming Shi; Kaibin Huang,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3294703,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2024,Task-Oriented Scene Graph-Based Semantic Communications With Adaptive Channel Coding,Shiqi Sun; Zhijin Qin; Huiqiang Xie; Xiaoming Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3450697,core,explicit semantic-communication terminology in title or abstract
2024,"Task-Oriented Sensing, Computation, and Communication Integration for Multi-Device Edge AI",Dingzhu Wen; Peixi Liu; Guangxu Zhu; Yuanming Shi; Jie Xu; Yonina C. Eldar; Shuguang Cui,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3303232,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2024,Transformer-Aided Wireless Image Transmission With Channel Feedback,Haotian Wu; Yulin Shao; Emre Ozfatura; Krystian Mikolajczyk; Deniz Gündüz,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3386052,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2024,UAV-Enabled Semantic Communication in Mobile Edge Computing Under Jamming Attacks: An Intelligent Resource Management Approach,Shuai Liu; Helin Yang; Mengting Zheng; Liang Xiao; Zehui Xiong; Dusit Niyato,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3454073,core,explicit semantic-communication terminology in title or abstract
2024,xURLLC-Aware Service Provisioning in Vehicular Networks: A Semantic Communication Perspective,Le Xia; Yao Sun; Dusit Niyato; Daquan Feng; Lei Feng; Muhammad Ali Imran,IEEE Transactions on Wireless Communications,10.1109/twc.2023.3319442,core,explicit semantic-communication terminology in title or abstract
2025,Adaptive Semantic Generation and NOMA-Based Interference-Aware Transmission for 6G Networks,Yuna Yan; Lixin Li; Xin Zhang; Wensheng Lin; Wenchi Cheng; Zhu Han,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3520870,core,explicit semantic-communication terminology in title or abstract
2025,Agent-Driven Generative Semantic Communication With Cross-Modality and Prediction,Wanting Yang; Zehui Xiong; Yanli Yuan; Wenchao Jiang; Tony Q. S. Quek; Mérouane Debbah,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3519325,core,explicit semantic-communication terminology in title or abstract
2025,Alternate Learning-Based SNR-Adaptive Sparse Semantic Visual Transmission,Siyu Tong; Xiaoxue Yu; Rongpeng Li; Kun Lu; Zhifeng Zhao; Honggang Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3512652,core,explicit semantic-communication terminology in title or abstract
2025,Computation-Aware Offloading for DNN Inference Tasks in Semantic Communication Assisted MEC Systems,Guangyuan Zheng; Miaowen Wen; Zhaolong Ning; Zhiguo Ding,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3523517,core,explicit semantic-communication terminology in title or abstract
2025,Diff-GO+: An Efficient Diffusion Goal-Oriented Communication System With Local Feedback,Achintha Wijesinghe; Songyang Zhang; Suchinthaka Wanninayaka; Weiwei Wang; Zhi Ding,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3554442,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2025,Diffusion-Driven Semantic Communication for Generative Models With Bandwidth Constraints,Lei Guo; Wei Chen; Yuxuan Sun; Bo Ai; Nikolaos Pappas; Tony Q. S. Quek,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3553851,core,explicit semantic-communication terminology in title or abstract
2025,Dynamic Semantic Compression for CNN Inference in Multi-Access Edge Computing: A Graph Reinforcement Learning-Based Autoencoder,Nan Li; Alexandros Iosifidis; Qi Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3518399,core,explicit semantic-communication terminology in title or abstract
2025,Energy-Efficient Probabilistic Semantic Communication Over Space-Air-Ground Integrated Networks,Zhouxiang Zhao; Zhaohui Yang; Mingzhe Chen; Chen Zhu; Wei Xu; Zhaoyang Zhang; Kaibin Huang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3569102,core,explicit semantic-communication terminology in title or abstract
2025,Feature Allocation for Semantic Communication With Space-Time Importance Awareness,Kequan Zhou; Guangyi Zhang; Yunlong Cai; Qiyu Hu; Guanding Yu; A. Lee Swindlehurst,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3569320,core,explicit semantic-communication terminology in title or abstract
2025,IRS-Enhanced Secure Semantic Communication Networks: Cross-Layer and Context-Awared Resource Allocation,Lingyi Wang; Wei Wu; Fuhui Zhou; Zhijin Qin; Qihui Wu,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3495720,core,explicit semantic-communication terminology in title or abstract
2025,Joint Semantic Transmission and Resource Allocation for Intelligent Computation Task Offloading in MEC Systems,Yuanpeng Zheng; Tiankui Zhang; Xidong Mu; Yuanwei Liu; Rong Huang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3568870,core,explicit semantic-communication terminology in title or abstract
2025,Latent Diffusion Model-Enabled Low-Latency Semantic Communication in the Presence of Semantic Ambiguities and Wireless Channel Noises,Jianhua Pei; Cheng Feng; Ping Wang; Hina Tabassum; Dongyuan Shi,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3535714,core,explicit semantic-communication terminology in title or abstract
2025,Lyapunov-Guided Deep Reinforcement Learning for Semantic-Aware AoI Minimization in UAV-Assisted Wireless Networks,Yusi Long; Shimin Gong; Sumei Sun; Gary C. F. Lee; Lanhua Li; Dusit Niyato,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3552809,core,explicit semantic-communication terminology in title or abstract
2025,Multi-Scale Semantic Communication for Object Detection: Single and Cross-Domain Scenarios,Jie Guo; Hang Yin; Bin Song; Yuhao Chi; Zhaoyang Zhang; Chau Yuen; Dusit Niyato,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3552255,core,explicit semantic-communication terminology in title or abstract
2025,Post-Deployment Fine-Tunable Semantic Communication,Peiyuan Si; Renyang Liu; Liangxin Qian; Jun Zhao; Kwok-Yan Lam,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3433479,core,explicit semantic-communication terminology in title or abstract
2025,Rate Splitting Multiple Access-Enabled Adaptive Panoramic Video Semantic Transmission,Haixiao Gao; Mengying Sun; Xiaodong Xu; Shujun Han; Bizhu Wang; Jingxuan Zhang; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3570465,core,explicit semantic-communication terminology in title or abstract
2025,Residual Vector Quantized Diffusion Model-Based Joint Source-Channel Coding for Task-Oriented Agent Communication,Guojun He; Shengyu Zhang; Tao Jiang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3543373,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2025,Resource Allocation for Semantic-Aware Wireless Communication Networks With Imperfect CSI,Jiahui Zhao; Ming Chen; Zhaohui Yang; Yijin Pan; Dusit Niyato; Quoc-Viet Pham,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3575444,core,explicit semantic-communication terminology in title or abstract
2025,Resource Allocation for the Training of Image Semantic Communication Networks,Yang Li; Xinyu Zhou; Jun Zhao,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3527014,core,explicit semantic-communication terminology in title or abstract
2025,Scalable Multi-Task Edge Sensing via Task-Oriented Joint Information Gathering and Broadcast,Huawei Hou; Suzhi Bi; Xian Li; Shuoyao Wang; Liping Qian; Zhi Quan,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3574442,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2025,Semantic Base Enabled Image Transmission With Fine-Grained HARQ,Yuan Zheng; Fengyu Wang; Wenjun Xu; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3532501,core,explicit semantic-communication terminology in title or abstract
2025,Semantic Communication Enabled 6G-NTN Framework: A Novel Denoising and Gateway Hop Integration Mechanism,Loc X. Nguyen; Sheikh Salman Hassan; Yan Kyaw Tun; Kitae Kim; Zhu Han; Choong Seon Hong,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3578010,core,explicit semantic-communication terminology in title or abstract
2025,Semantic Prior Aided Channel-Adaptive Equalizing and De-Noising Semantic Communication System With Latent Diffusion Model,Bingxuan Xu; Shujun Han; Xiaodong Xu; Weizhi Li; Rui Meng; Chen Dong; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3543167,core,explicit semantic-communication terminology in title or abstract
2025,Semantic-Aided Parallel Image Transmission Compatible With Practical System,Mingkai Xu; Yongpeng Wu; Yuxuan Shi; Xiang-Gen Xia; Mérouane Debbah; Wenjun Zhang; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3566886,core,explicit semantic-communication terminology in title or abstract
2025,Semantics-Empowered Non-Orthogonal Multiple Access for Downlink Transmission of Correlated Information Sources,Weizhi Li; Yucheng Liu; Chen Dong; Xiaodong Xu; Ping Zhang; Lin Li,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3563243,core,explicit semantic-communication terminology in title or abstract
2025,Synchronous Multi-Modal Semantic Communication System With Packet-Level Coding,Yun Tian; Jingkai Ying; Zhijin Qin; Ye Jin; Xiaoming Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3534995,core,explicit semantic-communication terminology in title or abstract
2025,Synesthesia of Machines (SoM)-Based Task-Driven MIMO System for Image Transmission,Sijiang Li; Rongqing Zhang; Xiang Cheng; Jian Tang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3606237,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2025,Task-Oriented Low-Label Semantic Communication With Self-Supervised Learning,Run Gu; Wei Xu; Zhaohui Yang; Dusit Niyato; Aylin Yener,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3574468,core,explicit semantic-communication terminology in title or abstract
2025,Unified Timing Analysis for Closed-Loop Goal-Oriented Wireless Communication,Lintao Li; Anders E. Kalør; Petar Popovski; Wei Chen,IEEE Transactions on Wireless Communications,10.1109/twc.2024.3525087,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2025,Visual Language Model-Based Cross-Modal Semantic Communication Systems,Feibo Jiang; Chuanguo Tang; Li Dong; Kezhi Wang; Kun Yang; Cunhua Pan,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3539526,core,explicit semantic-communication terminology in title or abstract
2026,3D Deployment of UAV-BSs in Semantic Communication Networks: Mean-Field Multi-Agent Reinforcement Learning Approach,Hui Li; Kun Zhu; Tianxu Li; Heng Zhu; Jingfeng Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3641947,core,explicit semantic-communication terminology in title or abstract
2026,A Lightweight Gated Convolution and Attention Joint Source–Channel Coding Architecture for Bandwidth-Limited Wireless Image Transmission,Helin Yang; Junhong Zhang; Changyuan Xu; Zeqi Huang; Jiawen Kang; Jiangtian Nie,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3706543,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2026,A MIMO-Aided Semantic Covert Communication Approach Using Excess Distortion Exponent Optimization,Yunfan Bai; Yuwen Qian; Zhen Mei; Long Shi; Wei Zhu; Feng Shu; Shuning Zhang; Jun Li,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3714594,core,explicit semantic-communication terminology in title or abstract
2026,A Semantic-Empowered Free-Space Optical Communication System With Turbulence-Resilient Vector Beams,Yuan Wei; Chaoxu Chen; Li Yao; Haoyu Zhang; Fang Dong; Fujie Li; Fang Wei; Guowei Jiang; Feng Bao; Yingjun Zhou; Ziwei Li; Chao Shen; Junwen Zhang; Nan Chi; Jianyang Shi,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3659523,core,explicit semantic-communication terminology in title or abstract
2026,A Superimposed Pilot Design Method for Semantic Transmission Over Doubly Selective Channel,Haotai Liang; Xiaoyi Liu; Chen Dong; Xiaodong Xu,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3650161,core,explicit semantic-communication terminology in title or abstract
2026,Active Movable-Element RIS Assisted Vehicular Semantic Communications: Modeling and Optimization,Maoxin Ji; Qiong Wu; Jingbo Zhang; Pingyi Fan; Kezhi Wang; Wen Chen; Guoqiang Mao; Khaled B. Letaief,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3716064,core,explicit semantic-communication terminology in title or abstract
2026,Adaptive Semantic Communication System for High-Quality Remote Sensing Image Transmission in Unstable Wireless Environments,Zhangyayu Tan; Caiping Liu; Kun Xie; Yudian Ouyang; Jigang Wen; Guangxing Zhang; Dong Chen; Gaogang Xie; Kenli Li,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3600880,core,explicit semantic-communication terminology in title or abstract
2026,Adaptive Semantic Speech Transmission for High-Speed Scenarios,Fangyu Liu; Peiwen Jiang; Wenjin Wang; Xingyu Zhou; Jing Zhang; Chao-Kai Wen; Shi Jin,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3601158,core,explicit semantic-communication terminology in title or abstract
2026,Adaptive Source–Channel Coding for Multi-User Semantic and Data Communications,Kai Yuan; Dongxu Li; Jianhao Huang; Han Zhang; Chuan Huang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3679927,core,explicit semantic-communication terminology in title or abstract
2026,Age of Semantic Information-Aware Wireless Transmission for Remote Monitoring Systems,Xue Han; Biqian Feng; Yongpeng Wu; Xiang-Gen Xia; Wenjun Zhang; Shengli Sun,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3600511,core,explicit semantic-communication terminology in title or abstract
2026,CoDS: Collaborative Perception via Digital Semantic Communication,Jipeng Gan; Le Liang; Hua Zhang; Chongtao Guo; Shi Jin,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3698559,core,explicit semantic-communication terminology in title or abstract
2026,Coarse-to-Fine: A Dual-Phase Channel-Adaptive Method for Wireless Image Transmission,Hanlei Li; Guangyi Zhang; Kequan Zhou; Yunlong Cai; Guanding Yu,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3597717,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2026,Coded Semantic-Aware Coordinated Transmission in Cohesive Clustered Satellite Systems: An Incremental MADRL Approach,Liang Xu; Jian Jiao; Xingjian Zhang; Ye Wang; Qinyu Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3624727,core,explicit semantic-communication terminology in title or abstract
